23,Avicii,18,6,519,2015
24,Jack Ü with Justin Bieber,24,11,549,2015
25,Silentó,9,17,160,2015
26,Kygo feat. Parson James,27,3,836,2015
27,Disclosure ft. Sam Smith,8,27,75,2015
28,Thomas Jack,6,24,84,2015
29,James Bay,20,18,406,2015
30,Years & Years,5,22,168,2015
31,Nico & Vinz feat. Kid Ink & Bebe Rexha,9,29,77,2015
32,Dotan,2,31,43,2015
33,Oliver Heldens & Shaun Frank (ft. Delaney Jane),4,30,41,2015
34,James Morrison,1,29,41,2015
35,Pitbull ft. Chris Brown,16,9,335,2015
36,David Guetta feat. Nicki Minaj, Bebe Rexha & Afrojack,20,12,375,2015
37,Fifth Harmony ft. Kid Ink,16,25,183,2015
38,Robin Schulz (feat. Francesco Yates),1,4,419,2015
39,Afrojack ft. Mike Taylor,13,13,239,2015
40,Kensington,22,23,244,2015
1,Justin Bieber,4,1,639,2015
2,Calvin Harris + Disciples,9,1,716,2015
3,The Weeknd,14,2,719,2015
4,Lost Frequencies feat. Janieck Devy,11,3,730,2015
5,R.City feat. Adam Levine,10,4,568,2015
6,Felix Jaehn feat. Jasmine Thompson,19,1,872,2015
7,Axwell & Ingrosso,8,6,452,2015
8,Nicky Jam & Enrique Iglesias,16,1,693,2015
9,Shaggy feat. Mohombi, Faydee, Costi,5,8,460,2015
10,Adam Lambert,18,6,647,2015
11,Sigala,3,2,548,2015
12,Madcon & Ray Dalton,17,3,583,2015
13,Zara Larsson,4,3,560,2015
14,Alvaro Soler,10,12,320,2015
15,Major Lazer x DJ Snake feat. Mø,28,1,1076,2015
16,Sam Hunt,3,9,441,2015
17,Avicii,17,6,519,2015
18,One Direction,7,15,217,2015
19,Kygo feat. Ella Henderson,2,11,286,2015
20,Jack Ü with Justin Bieber,23,11,549,2015
21,Sam Feldt,9,19,230,2015
22,Anouk,1,16,145,2015
23,Avicii,2,17,159,2015
24,Silentó,8,17,160,2015
25,Kygo feat. Parson James,26,3,836,2015
26,James Bay,19,18,406,2015
27,Afrojack ft. Mike Taylor,12,13,239,2015
28,Thomas Jack,5,24,84,2015
29,Pitbull ft. Chris Brown,15,9,335,2015
30,Oliver Heldens & Shaun Frank (ft. Delaney Jane),3,30,41,2015
31,Fifth Harmony ft. Kid Ink,15,25,183,2015
32,Disclosure ft. Sam Smith,7,27,75,2015
33,Nico & Vinz feat. Kid Ink & Bebe Rexha,8,29,77,2015
34,David Guetta feat. Nicki Minaj, Bebe Rexha & Afrojack,19,12,375,2015
35,Macklemore & Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz,2,35,10,2015
36,Pharrell Williams,11,16,191,2015
37,Kensington,21,23,244,2015
38,Years & Years,4,22,168,2015
39,Dotan,1,31,43,2015
40,Eva Simons,20,10,392,2015
1,Justin Bieber,3,1,639,2015
2,Calvin Harris + Disciples,8,1,716,2015
3,The Weeknd,13,2,719,2015
4,Felix Jaehn feat. Jasmine Thompson,18,1,872,2015
5,Nicky Jam & Enrique Iglesias,15,1,693,2015
6,Axwell & Ingrosso,7,6,452,2015
7,R.City feat. Adam Levine,9,4,568,2015
8,Lost Frequencies feat. Janieck Devy,10,3,730,2015
9,Adam Lambert,17,6,647,2015
10,Shaggy feat. Mohombi, Faydee, Costi,4,8,460,2015
11,Madcon & Ray Dalton,16,3,583,2015
12,Alvaro Soler,9,12,320,2015
13,Major Lazer x DJ Snake feat. Mø,27,1,1076,2015
14,Avicii,16,6,519,2015
15,Sigala,2,2,548,2015
16,Jack Ü with Justin Bieber,22,11,549,2015
17,One Direction,6,15,217,2015
18,Sam Hunt,2,9,441,2015
19,Kygo feat. Parson James,25,3,836,2015
20,Zara Larsson,3,3,560,2015
21,Sam Feldt,8,19,230,2015
22,Afrojack ft. Mike Taylor,11,13,239,2015
23,Silentó,7,17,160,2015
24,Kygo feat. Ella Henderson,1,11,286,2015
25,James Bay,18,18,406,2015
26,Avicii,1,17,159,2015
27,Pitbull ft. Chris Brown,14,9,335,2015
28,Thomas Jack,4,24,84,2015
29,Fifth Harmony ft. Kid Ink,14,25,183,2015
30,Oliver Heldens & Shaun Frank (ft. Delaney Jane),2,30,41,2015
31,David Guetta feat. Nicki Minaj, Bebe Rexha & Afrojack,18,12,375,2015
32,Nico & Vinz feat. Kid Ink & Bebe Rexha,7,29,77,2015
33,Years & Years,3,22,168,2015
34,Pharrell Williams,10,16,191,2015
35,Kensington,20,23,244,2015
36,Disclosure ft. Sam Smith,6,27,75,2015
37,Macklemore & Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz,1,35,10,2015
38,Sharon Doorson,5,35,21,2015
39,Eva Simons,19,10,392,2015
40,Jason Derulo,26,6,574,2015
